H_Oe,B_Gauss
0.00,0.00
0.39,85.05
0.92,340.21
1.45,595.36
1.71,850.52
2.11,1275.77
2.24,1615.98
2.37,2041.24
2.50,2466.49
2.63,2891.75
2.89,3487.11
3.03,4167.53
3.16,4762.89
3.29,5188.14
3.42,5783.51
3.55,6463.92
3.68,7144.33
3.95,7824.74
4.21,8420.10
4.47,8930.41
4.74,9355.67
5.00,9865.98
5.39,10376.30
5.79,10886.60
6.18,11226.80
7.11,11652.10
7.76,11907.20
9.08,12332.50
10.26,12502.60
11.45,12757.70
13.16,12927.80
14.74,13012.90
16.32,13183.00
17.89,13268.00
19.08,13353.10
22.24,13523.20
23.95,13608.20
25.39,13693.30
26.58,13693.30
27.89,13778.40
28.82,13778.40
29.87,13778.40
31.58,13706.30
39.47,13881.00
46.05,14055.60
57.89,14317.50
69.74,14579.40
82.89,14841.30
97.37,15015.90
114.47,15277.80
128.95,15452.40
142.11,15539.70
157.90,15714.30
175.00,15888.90
190.79,15976.20
206.58,16063.50
227.63,16150.80
246.05,16238.10
264.47,16325.40
282.90,16412.70
300.00,16412.70
