var_min_air_gap,var_c_r,var_c_a,var_h_C,var_r_Cout,var_D_w,var_t_cfr,var_t_cfa,var_t_mba,var_t_mta,var_r_A,var_r_cham,var_h_cham,var_t_shell,var_PR,var_CSF,var_h_air,var_mu,var_mu0,var_CWCC,var_erc,Nturns,P,Ks,orifice_opening_t,orifice_closing_t
5e-05,0.0001,0.0003,0.03,0.010,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,1440.329218107,5065000,25000,0.0217027,0.0072973
5e-05,0.0001,0.0003,0.03,0.012,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,2263.37448559671,5065000,25000,0.0132742,0.0124445
5e-05,0.0001,0.0003,0.03,0.014,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,3086.41975308642,5065000,25000,0.0108548,0.0173944
5e-05,0.0001,0.0003,0.03,0.016,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,3909.46502057613,5065000,25000,0.0094775,0.0221409
5e-05,0.0001,0.0003,0.03,0.018,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,4732.51028806584,5065000,25000,0.008521,0.0266544
5e-05,0.0001,0.0003,0.04,0.010,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,1920.43895747599,5065000,25000,0.0170228,0.0093715
5e-05,0.0001,0.0003,0.04,0.012,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,3017.83264746228,5065000,25000,0.0123593,0.0155968
5e-05,0.0001,0.0003,0.04,0.014,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,4115.22633744856,5065000,25000,0.0104673,0.0216512
5e-05,0.0001,0.0003,0.04,0.016,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,5212.62002743484,5065000,25000,0.0092822,0.0274734
5e-05,0.0001,0.0003,0.04,0.018,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,6310.01371742112,5065000,25000,0.0084198,0.0330137
5e-05,0.0001,0.0003,0.05,0.010,0.00027,0.0015,0.005,0.005,0.005,0.0049,0.002,0.002,0.002,1,0.9,0.0005,550,1.25663706212e-06,10000000,1.68e-08,2400.54869684499,5065000,25000,0.0154725,0.011136
