rom,0.5,mm,,,,,,,
valve_seat_outlet_orifice_d,0.5,mm,,,,,,,
valve_seat_outlet_orifice_rad,0.5,mm,,,,,,,
valve_seat_outlet_d,12,mm,,,,,,,
valve_seat_outlet_h,3,mm,,,,,,,
valve_seat_outlet_face_oring_din,0,mm,,,,,,,
valve_seat_outlet_face_oring_dout,0,mm,,,,,,,
valve_seat_outlet_face_oring_h,0,mm,,,,,,,
valve_seat_inlet_h,3,mm,,,,,,,
valve_seat_upper_h,5,mm,,,,,,,
valve_seat_upper_face_oring_din,0,mm,,,,,,,
valve_seat_upper_face_oring_dout,0,mm,,,,,,,
valve_seat_upper_face_oring_t,0,mm,,,,,,,
valve_seat_upper_rad_oring_d,0,mm,,,,,,,
valve_seat_upper_rad_oring_t,0,mm,,,,,,,
valve_seat_h,valve_seat_outlet_h + valve_seat_inlet_h + valve_seat_upper_h,mm,,,,,,,
valve_seat_din,4.5,mm,,,,,,,
valve_cone_cone_d,4,mm,,,,,,,
valve_cone_cone_h,3,mm,,,,,,,
valve_cone_h,3,mm,,,,,,,
valve_cone_hole_d,1,mm,,,,,,,
valve_cone_insert_d,2,mm,,,,,,,
valve_cone_insert_h,3,mm,,,,,,,
valve_spool_d,valve_seat_din,mm,,,,,,,
valve_spool_h,17,mm,,,,,,,
valve_spool_insert_d,valve_cone_insert_d,mm,,,,,,,
valve_spool_insert_h,valve_cone_insert_h,mm,,,,,,,
valve_spool_hole_d,valve_cone_hole_d,mm,,,,,,,
valve_spool_hole_h,valve_spool_h * 0.8,mm,,,,,,,
valve_spool_hole_2_d,valve_spool_hole_d,mm,,,,,,,
valve_spool_hole_2_h,valve_spool_hole_h * 0.8,mm,,,,,,,
coil_wire_A,0.05,mm*mm,,,,,,,
coil_wire_d,sqrt(coil_wire_A/PI) * 2,mm,,,,,,,
coil_h,20,mm,,,,,,,
coil_din,6,mm,,,,,,,
coil_dout,10,mm,,,,,,,
coil_former_din,coil_din,mm,,,,,,,
coil_former_dout,coil_dout,mm,,,,,,,
coil_former_h_in,coil_h,mm,,,,,,,
coil_former_h_out,coil_former_h_in + 4,mm,,,,,,,
coil_former_hole_d,valve_spool_d,,,,,,,,
magnetic_bottom_dout,coil_former_dout,mm,,,,,,,
magnetic_bottom_h,3,mm,,,,,,,
magnetic_bottom_din,valve_spool_d,mm,,,,,,,
magnetic_bottom_face_oring_din,0,mm,,,,,,,
magnetic_bottom_face_oring_dout,0,mm,,,,,,,
magnetic_bottom_face_oring_t,0,mm,,,,,,,
magnetic_top_boss_dout,valve_spool_d,mm,,,,,,,
magnetic_top_boss_din,2,mm,,,,,,,
magnetic_top_boss_h,coil_former_h_out/2,mm,,,,,,,
magnetic_top_h,5,mm,,,,,,,
magnetic_top_dout,12,mm,,,,,,,
magnetic_top_din,4,mm,,,,,,,
magnetic_top_hole_d,magnetic_top_din + 2,mm,,,,,,,
magnetic_top_hole_h,magnetic_top_h - 2,mm,,,,,,,
magnetic_top_face_oring_din,0,mm,,,,,,,
magnetic_top_face_oring_dout,0,mm,,,,,,,
magnetic_top_face_oring_t,0,mm,,,,,,,
shell_din,coil_former_dout,mm,,,,,,,
shell_dout,magnetic_top_dout,mm,,,,,,,
shell_h,coil_former_h_out + magnetic_bottom_h,mm,,,,,,,
spring_rod_long_h,rom + (magnetic_top_h - magnetic_top_hole_h) + magnetic_top_boss_h,mm,,,,,,,
spring_rod_long_d,magnetic_top_boss_din,mm,,,,,,,
spring_rod_thick_d,magnetic_top_hole_d - 1,mm,,,,,,,
spring_rod_thick_h,1,mm,,,,,,,
spring_rod_short_h,magnetic_top_hole_h - spring_rod_thick_h - rom,mm,,,,,,,
spring_rod_short_d,spring_rod_long_d,mm,,,,,,,
fastener_dout,shell_dout + 2,mm,,,,,,,
fastener_h,5,mm,,,,,,,
fastener_face_oring_din,0,mm,,,,,,,
fastener_face_oring_dout,0,mm,,,,,,,
fastener_face_oring_t,0,mm,,,,,,,
casing_din,magnetic_top_dout,mm,,,,,,,
casing_h,magnetic_top_h + shell_h + valve_seat_h + fastener_h,mm,,,,,,,
casing_t,3,mm,,,,,,,
casing_thread_h,fastener_h,mm,,,,,,,
