"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0","0.4784266","0","0","-0.9806951","0","0","-2.355576","0","0","-10.07398","0"
"0.01","0.4498164","0","0.01","-0.9457271","3.333333E-05","0.01","-2.344449","3.333333E-05","0.01","-10.08352","3.333333E-05"
"0.02","0.4116694","0.0001","0.02","-0.9187062","0.0001","0.02","-2.334913","0.0001333333","0.02","-10.08987","0.0001"
"0.03","0.3798803","0.0002666667","0.03","-0.9059906","0.0003","0.03","-2.315839","0.0003333333","0.03","-10.06444","0.0002333333"
"0.04","0.3703435","0.0006","0.04","-0.8980433","0.0006666667","0.04","-2.268155","0.0007","0.04","-10.00722","0.0005333333"
"0.05","0.3767014","0.001033333","0.05","-0.8376439","0.001133333","0.05","-2.139409","0.001166667","0.05","-9.924571","0.001066667"
"0.06","0.4005432","0.001466667","0.06","-0.6135305","0.001533333","0.06","-1.856486","0.001566667","0.06","-9.760857","0.0016"
"0.07","0.4386902","0.0019","0.07","-0.1064936","0.001933333","0.07","-1.330376","0.001933333","0.07","-9.379387","0.002066667"
"0.08","0.4784266","0.0023","0.08","0.7406871","0.0023","0.08","-0.5340576","0.0023","0.08","-8.589427","0.002466667"
"0.09","0.500679","0.002733333","0.09","1.851718","0.002666667","0.09","0.4847845","0.0027","0.09","-7.32104","0.002866667"
"0.1","0.4990896","0.0031","0.1","3.053347","0.003033333","0.1","1.564026","0.0031","0.1","-5.731583","0.003233333"
"0.11","0.4800161","0.003466667","0.11","4.177094","0.003433333","0.11","2.504985","0.0035","0.11","-4.081726","0.003533333"
"0.12","0.462532","0.003833333","0.12","5.0958","0.003833333","0.12","3.145536","0.003833333","0.12","-2.5479","0.003866667"
"0.13","0.4545847","0.004166667","0.13","5.734762","0.004166667","0.13","3.42687","0.0042","0.13","-1.182556","0.0042"
"0.14","0.4466375","0.0045","0.14","6.097158","0.004566667","0.14","3.436406","0.004566667","0.14","0.01907349","0.0045"
"0.15","0.4291534","0.004833333","0.15","6.251335","0.0049","0.15","3.30766","0.004866667","0.15","1.087189","0.004866667"
"0.16","0.3925959","0.005133334","0.16","6.300608","0.005233333","0.16","3.148715","0.0052","0.16","2.067884","0.0052"
"0.17","0.3703435","0.005433334","0.17","6.316503","0.005566667","0.17","3.032684","0.0055","0.17","3.008842","0.005566667"
"0.18","0.3798803","0.005733334","0.18","6.310145","0.0059","0.18","3.01679","0.0058","0.18","3.943443","0.0059"
"0.19","0.4291534","0.006033333","0.19","6.284714","0.0062","0.19","3.13282","0.006133333","0.19","4.895528","0.006233334"
"0.2","0.4959106","0.006366667","0.2","6.241798","0.0065","0.2","3.377597","0.006433333","0.2","5.865097","0.006566667"
"0.21","0.5531311","0.0067","0.21","6.225904","0.0068","0.21","3.743172","0.0067","0.21","6.848971","0.0069"
"0.22","0.5785624","0.007033333","0.22","6.32604","0.007066667","0.22","4.221598","0.007033333","0.22","7.823308","0.007233333"
"0.23","0.5722046","0.0074","0.23","6.637573","0.0074","0.23","4.792213","0.007366667","0.23","8.773804","0.007566667"
"0.24","0.5467733","0.007766667","0.24","7.177989","0.007733333","0.24","5.432765","0.007733333","0.24","9.686152","0.007900001"
